	PeakID (cmd=annotatePeaks.pl data/GSM816655_hg19_wgEncodeOpenChromDnaseK562PkV2.narrowPeak hg19 -gtf ref_files/gencode.v41.annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
77327	chr1.2439	chr1	17248093	17248468	+	538		promoter-TSS (ENST00000375460.3)	protein_coding-promoter-TSS (ENST00000375460.3)	-818	ENST00000375460.3	ENSG00000142619	ENST00000375460			PADI3			protein_coding
77331	chr22.1026	chr22	26717728	26717896	+	538		exon (ENST00000668496.1, exon 2 of 2)	lncRNA-intron (ENST00000653953.1, intron 2 of 2)	443	ENST00000417083.1	ENSG00000244625	ENST00000662474			MIATNB			lncRNA
77348	chr3.3258	chr3	113631900	113632067	+	538		promoter-TSS (ENST00000493013.3)	misc_RNA-promoter-TSS (ENST00000493013.3)	-721	ENST00000493013.3	ENSG00000241529	ENST00000493013			RN7SL767P			misc_RNA
77364	chr5.572	chr5	5421464	5421726	+	538		exon (ENST00000669435.2, exon 1 of 3)	lncRNA-exon (ENST00000669435.2, exon 1 of 3)	533	ENST00000690642.1	ENSG00000286753	ENST00000686499			ENSG00000286753			lncRNA
77370	chr15.3408	chr15	93257380	93257632	+	538		exon (ENST00000555297.1, exon 1 of 2)	lncRNA-exon (ENST00000555297.1, exon 1 of 2)	308	ENST00000555297.1	ENSG00000258888	ENST00000555297			ENSG00000258888			lncRNA
77375	chr16.485	chr16	2030070	2030384	+	538		intron (ENST00000567504.5, intron 2 of 2)	protein_coding-intron (ENST00000424542.7, intron 2 of 6)	473	ENST00000561844.5	ENSG00000065054	ENST00000565855			SLC9A3R2			protein_coding
77404	chr19.6094	chr19	55118281	55118514	+	538		promoter-TSS (ENST00000263433.8)	protein_coding-promoter-TSS (ENST00000263433.8)	542	ENST00000653659.1	ENSG00000287170	ENST00000653659			ENSG00000287170			lncRNA
77421	chr3.4446	chr3	150456642	150456862	+	538		promoter-TSS (ENST00000460316.1)	protein_coding-promoter-TSS (ENST00000460316.1)	-199	ENST00000460316.1	ENSG00000196428	ENST00000485421			TSC22D2			protein_coding
77430	chr11.5537	chr11	118791469	118791734	+	538		promoter-TSS (ENST00000525082.1)	protein_coding-promoter-TSS (ENST00000525082.1)	399	ENST00000610705.2	ENSG00000278376	ENST00000610705			ENSG00000278376			lncRNA
77434	chr17.474	chr17	7077574	7077882	+	538		promoter-TSS (ENST00000576549.6)	protein_coding-promoter-TSS (ENST00000576549.6)	-924	ENST00000576549.6	ENSG00000132514	ENST00000416562			CLEC10A			protein_coding
77439	chr8.759	chr8	22627015	22627228	+	538		promoter-TSS (ENST00000520489.5)	protein_coding-promoter-TSS (ENST00000520489.5)	-579	ENST00000520489.5	ENSG00000147439	ENST00000276416			BIN3			protein_coding
77440	chr15.752	chr15	42161395	42161777	+	538		promoter-TSS (ENST00000614932.1)	protein_coding-promoter-TSS (ENST00000614932.1)	-39	ENST00000614932.1	ENSG00000166887	ENST00000561818			VPS39			protein_coding
77446	chr11.1020	chr11	9784098	9784326	+	538		promoter-TSS (ENST00000526617.1)	lncRNA-promoter-TSS (ENST00000526617.1)	-939	ENST00000526617.1	ENSG00000246273	ENST00000663578			SBF2-AS1			lncRNA
77461	chr19.440	chr19	1810590	1810978	+	538		intron (ENST00000531925.5, intron 2 of 28)	protein_coding-intron (ENST00000310127.10, intron 2 of 28)	840	ENST00000533993.5	ENSG00000130270	ENST00000531925			ATP8B3			protein_coding
77468	chr1.6221	chr1	53946432	53946633	+	538		promoter-TSS (ENST00000194214.10)	protein_coding-promoter-TSS (ENST00000194214.10)	174	ENST00000444987.1	ENSG00000116212	ENST00000319223			LRRC42			protein_coding
77479	chr11.2693	chr11	61496397	61496674	+	538		promoter-TSS (ENST00000534856.1)	lncRNA-promoter-TSS (ENST00000534856.1)	95	ENST00000534856.1	ENSG00000255931	ENST00000668526			ENSG00000255931			lncRNA
77494	chr12.3530	chr12	109991877	109992159	+	538		promoter-TSS (ENST00000547267.2)	protein_coding-promoter-TSS (ENST00000547267.2)	70	ENST00000547267.2	ENSG00000139436	ENST00000552978			GIT2			protein_coding
77503	chr12.960	chr12	31986065	31986300	+	538		promoter-TSS (ENST00000543763.1)	protein_coding-promoter-TSS (ENST00000543763.1)	-984	ENST00000543763.1	ENSG00000174718	ENST00000397578			RESF1			protein_coding
77506	chr4.1686	chr4	65024567	65024737	+	538		promoter-TSS (ENST00000509932.2)	lncRNA-promoter-TSS (ENST00000509932.2)	-167	ENST00000509932.2	ENSG00000250125	ENST00000701711			LINC02232			lncRNA
77507	chr15.2579	chr15	78111250	78111573	+	538		promoter-TSS (ENST00000557818.1)	protein_coding-promoter-TSS (ENST00000557818.1)	-145	ENST00000557818.1	ENSG00000136425	ENST00000258930			CIB2			protein_coding
77523	chr6.2286	chr6	35468667	35468904	+	538		exon (ENST00000464112.5, exon 1 of 5)	protein_coding-exon (ENST00000464112.5, exon 1 of 5)	365	ENST00000464112.5	ENSG00000198755	ENST00000490335			RPL10A			protein_coding
77524	chr7.463	chr7	2193844	2194041	+	538		promoter-TSS (ENST00000464742.5)	protein_coding-promoter-TSS (ENST00000464742.5)	-467	ENST00000464742.5	ENSG00000002822	ENST00000438959			MAD1L1			protein_coding
77528	chr14.31	chr14	21025128	21025310	+	538		promoter-TSS (ENST00000397851.6)	protein_coding-promoter-TSS (ENST00000397851.6)	70	ENST00000556924.5	ENSG00000165795	ENST00000553793			NDRG2			protein_coding
77535	chr19.5416	chr19	49916461	49917473	+	538		intron (ENST00000599830.1, intron 2 of 3)	protein_coding-intron (ENST00000341114.7, intron 2 of 9)	674	ENST00000595373.5	ENSG00000213024	ENST00000600935			NUP62			protein_coding
77536	chr12.94	chr12	1757776	1757965	+	538		exon (ENST00000493072.1, exon 1 of 1)	processed_pseudogene-exon (ENST00000493072.1, exon 1 of 1)	141	ENST00000493072.1	ENSG00000243663	ENST00000493072			RPS4XP14			processed_pseudogene
77549	chr7.5037	chr7	139952744	139952980	+	538		promoter-TSS (ENST00000469630.1)	protein_coding-promoter-TSS (ENST00000469630.1)	-573	ENST00000469630.1	ENSG00000059377	ENST00000414041			TBXAS1			protein_coding
77563	chr5.2981	chr5	134371355	134371807	+	538		promoter-TSS (ENST00000265339.7)	protein_coding-promoter-TSS (ENST00000265339.7)	12	ENST00000265339.7	ENSG00000119048	ENST00000511807			UBE2B			protein_coding
77567	chr5.5097	chr5	179817931	179818124	+	538		promoter-TSS (ENST00000422245.5)	protein_coding-promoter-TSS (ENST00000422245.5)	-851	ENST00000422245.5	ENSG00000161011	ENST00000510187			SQSTM1			protein_coding
77573	chr2.6224	chr2	205348374	205348733	+	538		intron (ENST00000494482.1, intron 1 of 2)	protein_coding-intron (ENST00000349953.7, intron 18 of 21)	744	ENST00000494482.1	ENSG00000116117	ENST00000406610			PARD3B			protein_coding
77581	chr20.3563	chr20	62872456	62872712	+	538		exon (ENST00000430209.1, exon 2 of 2)	processed_pseudogene-exon (ENST00000430209.1, exon 2 of 2)	492	ENST00000430209.1	ENSG00000236527	ENST00000430209			ARF4P2			processed_pseudogene
77584	chr17.339	chr17	4690667	4690824	+	538		TTS (ENST00000571347.1)	protein_coding-TTS (ENST00000571347.1)	469	ENST00000571170.1	ENSG00000141456	ENST00000570823			PELP1			protein_coding
77602	chr11.2665	chr11	61362087	61362354	+	538		promoter-TSS (ENST00000278826.11)	protein_coding-promoter-TSS (ENST00000278826.11)	28	ENST00000535152.1	ENSG00000162144	ENST00000537680			CYB561A3			protein_coding
77606	chr15.2625	chr15	78245399	78245587	+	538		exon (ENST00000558793.1, exon 1 of 3)	protein_coding-exon (ENST00000558793.1, exon 1 of 3)	195	ENST00000558828.5	ENSG00000103740	ENST00000559241			ACSBG1			protein_coding
77609	chr12.494	chr12	9091936	9092206	+	538		promoter-TSS (ENST00000543436.2)	protein_coding-promoter-TSS (ENST00000543436.2)	-659	ENST00000543436.2	ENSG00000175899	ENST00000467091			A2M			protein_coding
77611	chr12.3174	chr12	102912750	102912941	+	538		promoter-TSS (ENST00000548928.1)	protein_coding-promoter-TSS (ENST00000548928.1)	35	ENST00000548928.1	ENSG00000171759	ENST00000548677			PAH			protein_coding
77625	chr1.8659	chr1	153095358	153095555	+	538		promoter-TSS (ENST00000368750.8)	protein_coding-promoter-TSS (ENST00000368750.8)	-930	ENST00000368750.8	ENSG00000203785	ENST00000368751			SPRR2E			protein_coding
77632	chrX.1171	chrX	54813484	54813687	+	538		promoter-TSS (ENST00000408789.1)	snoRNA-promoter-TSS (ENST00000408789.1)	-785	ENST00000408789.1	ENSG00000221716	ENST00000408789			SNORA11			snoRNA
77635	chr3.2869	chr3	72378667	72378872	+	538		intron (ENST00000677329.1, intron 3 of 3)	protein_coding-intron (ENST00000477973.5, intron 3 of 3)	428	ENST00000676841.1	ENSG00000163602	ENST00000677329			RYBP			protein_coding
77645	chr17.2762	chr17	41620456	41620690	+	538		TTS (ENST00000463128.5)	protein_coding-TTS (ENST00000463128.5)	256	ENST00000648859.1	ENSG00000128422	ENST00000463128			KRT17			protein_coding
77656	chr9.3966	chr9	137782850	137783029	+	538		intron (ENST00000637949.1, intron 1 of 5)	protein_coding-intron (ENST00000371394.6, intron 14 of 15)	601	ENST00000637949.1	ENSG00000181090	ENST00000635741			EHMT1			protein_coding
77662	chr19.4753	chr19	45674063	45674238	+	538		promoter-TSS (ENST00000385039.1)	miRNA-promoter-TSS (ENST00000385039.1)	-778	ENST00000385039.1	ENSG00000207773	ENST00000385039			MIR642A			miRNA
77677	chrX.999	chrX	48956902	48957085	+	538		promoter-TSS (ENST00000484499.5)	protein_coding-promoter-TSS (ENST00000484499.5)	63	ENST00000484499.5	ENSG00000068308	ENST00000396743			OTUD5			protein_coding
77697	chr19.5698	chr19	51270437	51270747	+	538		promoter-TSS (ENST00000594261.5)	lncRNA-promoter-TSS (ENST00000594261.5)	587	ENST00000597569.1	ENSG00000268595	ENST00000597569			ENSG00000268595			lncRNA
77706	chr10.540	chr10	13480773	13481006	+	538		promoter-TSS (ENST00000469555.1)	protein_coding-promoter-TSS (ENST00000469555.1)	87	ENST00000469555.1	ENSG00000165626	ENST00000466271			BEND7			protein_coding
77714	chr17.6305	chr17	81034886	81035124	+	538		promoter-TSS (ENST00000321280.11)	protein_coding-promoter-TSS (ENST00000321280.11)	-117	ENST00000321280.11	ENSG00000175866	ENST00000570913			BAIAP2			protein_coding
77716	chr15.921	chr15	45002443	45002644	+	538		TTS (ENST00000391248.1)	snRNA-TTS (ENST00000391248.1)	485	ENST00000391248.1	ENSG00000212550	ENST00000391248			RNU1-78P			snRNA
77728	chr22.2441	chr22	43932966	43933146	+	538		promoter-TSS (ENST00000497129.1)	protein_coding-promoter-TSS (ENST00000497129.1)	49	ENST00000497129.1	ENSG00000100344	ENST00000423180			PNPLA3			protein_coding
77742	chr5.2119	chr5	88691924	88692165	+	538		promoter-TSS (ENST00000511000.2)	lncRNA-promoter-TSS (ENST00000511000.2)	-607	ENST00000511000.2	ENSG00000250555	ENST00000511000			ENSG00000250555			lncRNA
77755	chr5.871	chr5	16617085	16617386	+	538		promoter-TSS (ENST00000306320.10)	protein_coding-promoter-TSS (ENST00000306320.10)	10	ENST00000504935.1	ENSG00000250415	ENST00000504935			ENSG00000250415			lncRNA
77759	chr14.2455	chr14	103481368	103481555	+	538		promoter-TSS (ENST00000676944.1)	protein_coding-promoter-TSS (ENST00000676944.1)	-340	ENST00000677352.1	ENSG00000075413	ENST00000416682			MARK3			protein_coding
77761	chr11.3607	chr11	67784132	67784423	+	538		promoter-TSS (ENST00000533887.1)	unprocessed_pseudogene-promoter-TSS (ENST00000533887.1)	-48	ENST00000642027.2	ENSG00000254447	ENST00000642027			ENSG00000254447			lncRNA
77768	chr15.1628	chr15	65374963	65375175	+	538		intron (ENST00000559947.1, intron 1 of 1)	protein_coding-intron (ENST00000327987.9, intron 2 of 13)	231	ENST00000559947.1	ENSG00000174498	ENST00000559947			IGDCC3			protein_coding
77777	chr16.3348	chr16	67146745	67147015	+	538		intron (ENST00000569600.5, intron 16 of 16)	protein_coding-intron (ENST00000219139.8, intron 15 of 15)	596	ENST00000569277.1	ENSG00000125149	ENST00000565900			PHAF1			protein_coding
77779	chr1.4706	chr1	35392572	35392829	+	538		promoter-TSS (ENST00000470175.1)	protein_coding-promoter-TSS (ENST00000470175.1)	20	ENST00000470175.1	ENSG00000146463	ENST00000470175			ZMYM4			protein_coding
77780	chr7.679	chr7	4959597	4959817	+	538		promoter-TSS (ENST00000401401.8)	protein_coding-promoter-TSS (ENST00000401401.8)	-494	ENST00000612910.1	ENSG00000136297	ENST00000612910			MMD2			protein_coding
77782	chr5.3315	chr5	139492759	139493020	+	538		exon (ENST00000515724.1, exon 1 of 1)	processed_pseudogene-exon (ENST00000515724.1, exon 1 of 1)	351	ENST00000515724.1	ENSG00000249689	ENST00000515724			ENSG00000249689			processed_pseudogene
77795	chr2.2857	chr2	74505399	74505604	+	538		TTS (ENST00000496911.1)	protein_coding-TTS (ENST00000496911.1)	109	ENST00000489914.1	ENSG00000115289	ENST00000233630			PCGF1			protein_coding
77796	chr7.5077	chr7	140338243	140338542	+	538		promoter-TSS (ENST00000485139.1)	protein_coding-promoter-TSS (ENST00000485139.1)	-567	ENST00000485139.1	ENSG00000157800	ENST00000462881			SLC37A3			protein_coding
77797	chr3.5136	chr3	182897981	182898447	+	538		promoter-TSS (ENST00000475636.1)	protein_coding-promoter-TSS (ENST00000475636.1)	-393	ENST00000484691.1	ENSG00000058063	ENST00000466758			ATP11B			protein_coding
77805	chr15.2379	chr15	75933273	75933463	+	538		TTS (ENST00000565036.5)	protein_coding-TTS (ENST00000565036.5)	568	ENST00000564220.1	ENSG00000167196	ENST00000565036			FBXO22			protein_coding
77806	chr19.1342	chr19	6415134	6415955	+	538		promoter-TSS (ENST00000597656.5)	protein_coding-promoter-TSS (ENST00000597656.5)	-96	ENST00000597656.5	ENSG00000088247	ENST00000599642			KHSRP			protein_coding
77807	chr22.670	chr22	22815144	22815319	+	538		TTS (ENST00000423259.1)	unprocessed_pseudogene-TTS (ENST00000423259.1)	560	ENST00000423259.1	ENSG00000226477	ENST00000423259			ENSG00000226477			unprocessed_pseudogene
77815	chr1.1097	chr1	6035327	6035540	+	538		promoter-TSS (ENST00000459822.1)	protein_coding-promoter-TSS (ENST00000459822.1)	343	ENST00000472700.7	ENSG00000069424	ENST00000378097			KCNAB2			protein_coding
77821	chr1.12633	chr1	235614339	235614561	+	538		promoter-TSS (ENST00000424229.2)	processed_pseudogene-promoter-TSS (ENST00000424229.2)	-224	ENST00000424229.2	ENSG00000227236	ENST00000424229			ENSG00000227236			processed_pseudogene
77831	chr17.2846	chr17	42269244	42269571	+	538		intron (ENST00000592536.1, intron 1 of 1)	protein_coding-intron (ENST00000293328.8, intron 1 of 18)	820	ENST00000592536.1	ENSG00000267758	ENST00000592536			ENSG00000267758			lncRNA
77843	chr3.610	chr3	13283089	13283540	+	538		promoter-TSS (ENST00000648114.1)	protein_coding-promoter-TSS (ENST00000648114.1)	-33	ENST00000648114.1	ENSG00000144711	ENST00000646269			IQSEC1			protein_coding
77844	chr9.3150	chr9	132241425	132241711	+	538		intron (ENST00000483055.1, intron 1 of 1)	protein_coding-intron (ENST00000393229.4, intron 7 of 7)	127	ENST00000483055.1	ENSG00000196358	ENST00000393229			NTNG2			protein_coding
77850	chr11.347	chr11	1828917	1829105	+	538		intron (ENST00000430303.5, intron 2 of 4)	protein_coding-intron (ENST00000417052.5, intron 1 of 3)	468	ENST00000417052.5	ENSG00000149043	ENST00000482118			SYT8			protein_coding
77854	chr9.1150	chr9	93566556	93566755	+	538		promoter-TSS (ENST00000689121.1)	lncRNA-promoter-TSS (ENST00000689121.1)	-106	ENST00000689121.1	ENSG00000289031	ENST00000689121			ENSG00000289031			lncRNA
77859	chr11.2656	chr11	61321294	61322187	+	538		TTS (ENST00000541513.2)	protein_coding-TTS (ENST00000541513.2)	424	ENST00000537877.5	ENSG00000167986	ENST00000681368			DDB1			protein_coding
77873	chr19.5127	chr19	48116461	48116931	+	538		promoter-TSS (ENST00000597146.1)	protein_coding-promoter-TSS (ENST00000597146.1)	-522	ENST00000597146.1	ENSG00000105486	ENST00000699870			LIG1			protein_coding
77882	chr12.3525	chr12	109900337	109900530	+	538		promoter-TSS (ENST00000312777.9)	protein_coding-promoter-TSS (ENST00000312777.9)	-85	ENST00000312777.9	ENSG00000139437	ENST00000549550			TCHP			protein_coding
77888	chr2.6571	chr2	219292587	219292827	+	538		exon (ENST00000460801.5, exon 1 of 4)	protein_coding-exon (ENST00000460801.5, exon 1 of 4)	189	ENST00000460801.5	ENSG00000054356	ENST00000423636			PTPRN			protein_coding
77898	chrX.2451	chrX	149712765	149712971	+	538		intron (ENST00000518694.1, intron 4 of 6)	protein_coding-intron (ENST00000333104.8, intron 1 of 3)	808	ENST00000355220.6	ENSG00000185247	ENST00000333104			MAGEA11			protein_coding
77901	chr7.1274	chr7	25430995	25431183	+	538		promoter-TSS (ENST00000650415.1)	lncRNA-promoter-TSS (ENST00000650415.1)	-891	ENST00000650415.1	ENSG00000285960	ENST00000650415			ENSG00000285960			lncRNA
77909	chr22.1195	chr22	29816174	29816350	+	538		intron (ENST00000449900.6, intron 4 of 6)	protein_coding-intron (ENST00000307790.8, intron 5 of 19)	478	ENST00000478812.5	ENSG00000100325	ENST00000449900			ASCC2			protein_coding
77910	chr6.4334	chr6	112617436	112617618	+	538		exon (ENST00000418595.1, exon 1 of 1)	processed_pseudogene-exon (ENST00000418595.1, exon 1 of 1)	353	ENST00000418595.1	ENSG00000225580	ENST00000418595			PA2G4P5			processed_pseudogene
77918	chr4.595	chr4	4860433	4860695	+	538		intron (ENST00000382723.5, intron 1 of 1)	protein_coding-intron (ENST00000382723.5, intron 1 of 1)	899	ENST00000382723.5	ENSG00000163132	ENST00000468421			MSX1			protein_coding
77923	chr4.773	chr4	7046177	7046512	+	538		promoter-TSS (ENST00000500031.1)	lncRNA-promoter-TSS (ENST00000500031.1)	-113	ENST00000500031.1	ENSG00000245748	ENST00000500031			ENSG00000245748			lncRNA
77925	chr15.1182	chr15	52332476	52332706	+	538		promoter-TSS (ENST00000692874.1)	protein_coding-promoter-TSS (ENST00000692874.1)	-841	ENST00000692874.1	ENSG00000197535	ENST00000692324			MYO5A			protein_coding
77952	chr7.2167	chr7	51386941	51387171	+	538		promoter-TSS (ENST00000444843.1)	processed_pseudogene-promoter-TSS (ENST00000444843.1)	45	ENST00000444843.1	ENSG00000228897	ENST00000444843			ENSG00000228897			processed_pseudogene
77975	chr11.3178	chr11	64845075	64845275	+	538		promoter-TSS (ENST00000342711.6)	protein_coding-promoter-TSS (ENST00000342711.6)	-522	ENST00000342711.6	ENSG00000171219	ENST00000480767			CDC42BPG			protein_coding
77976	chr19.2238	chr19	13816997	13817172	+	538		promoter-TSS (ENST00000592227.1)	protein_coding-promoter-TSS (ENST00000592227.1)	-615	ENST00000592227.1	ENSG00000132003	ENST00000590508			ZSWIM4			protein_coding
77980	chr2.2852	chr2	74459488	74459694	+	538		exon (ENST00000466835.5, exon 3 of 5)	protein_coding-exon (ENST00000466835.5, exon 3 of 5)	379	ENST00000490120.1	ENSG00000239779	ENST00000393972			WBP1			protein_coding
77984	chr16.3782	chr16	71924557	71924714	+	538		exon (ENST00000541180.1, exon 1 of 2)	protein_coding-exon (ENST00000541180.1, exon 1 of 2)	227	ENST00000541180.1	ENSG00000182149	ENST00000606369			IST1			protein_coding
77985	chr22.1791	chr22	38206079	38206262	+	538		promoter-TSS (ENST00000594306.1)	protein_coding-promoter-TSS (ENST00000594306.1)	-480	ENST00000594306.1	ENSG00000184381	ENST00000332509			PLA2G6			protein_coding
77997	chr11.4760	chr11	88167588	88167804	+	538		promoter-TSS (ENST00000624727.1)	TEC-promoter-TSS (ENST00000624727.1)	-5	ENST00000624727.1	ENSG00000279733	ENST00000624727			ENSG00000279733			TEC
77999	chr22.1646	chr22	37213082	37213295	+	538		promoter-TSS (ENST00000610913.2)	protein_coding-promoter-TSS (ENST00000610913.2)	-711	ENST00000610913.2	ENSG00000278195	ENST00000610913			SSTR3			protein_coding
78002	chr3.3497	chr3	124848485	124848687	+	538		promoter-TSS (ENST00000488466.5)	protein_coding-promoter-TSS (ENST00000488466.5)	-135	ENST00000488466.5	ENSG00000082781	ENST00000465464			ITGB5			protein_coding
78005	chr1.3170	chr1	22517312	22517543	+	538		promoter-TSS (ENST00000438551.1)	lncRNA-promoter-TSS (ENST00000438551.1)	-47	ENST00000438551.1	ENSG00000237200	ENST00000438551			ZBTB40-IT1			lncRNA
78015	chr1.9337	chr1	159848617	159848827	+	538		intron (ENST00000676072.1, intron 1 of 5)	protein_coding-intron (ENST00000368102.5, intron 2 of 5)	352	ENST00000676338.1	ENSG00000188004	ENST00000644477			SNHG28			lncRNA
78020	chr16.294	chr16	1210681	1211329	+	538		intron (ENST00000640028.1, intron 21 of 34)	protein_coding-intron (ENST00000348261.11, intron 21 of 34)	397	ENST00000569953.2	ENSG00000196557	ENST00000565831			CACNA1H			protein_coding
78023	chr15.3491	chr15	96496353	96496557	+	538		promoter-TSS (ENST00000616811.1)	misc_RNA-promoter-TSS (ENST00000616811.1)	7	ENST00000616811.1	ENSG00000274079	ENST00000616811			Metazoa_SRP			misc_RNA
78029	chr2.7343	chr2	241352592	241352792	+	538		TTS (ENST00000401990.5)	protein_coding-TTS (ENST00000401990.5)	412	ENST00000414896.1	ENSG00000223374	ENST00000414896			ENSG00000223374			lncRNA
78056	chr18.385	chr18	11851923	11852156	+	538		exon (ENST00000526991.3, exon 1 of 1)	protein_coding-exon (ENST00000526991.3, exon 1 of 1)	626	ENST00000526991.3	ENSG00000255112	ENST00000588284			CHMP1B			protein_coding
78057	chr6.2418	chr6	36737761	36738029	+	538		TTS (ENST00000494644.1)	processed_pseudogene-TTS (ENST00000494644.1)	845	ENST00000494644.1	ENSG00000220349	ENST00000494644			ENSG00000220349			processed_pseudogene
78060	chr17.5591	chr17	77209514	77209737	+	538		promoter-TSS (ENST00000587491.5)	protein_coding-promoter-TSS (ENST00000587491.5)	-236	ENST00000587491.5	ENSG00000129657	ENST00000586390			SEC14L1			protein_coding
78072	chr7.6177	chr7	157369193	157369496	+	538		TTS (ENST00000488001.5)	protein_coding-TTS (ENST00000488001.5)	543	ENST00000465908.5	ENSG00000105993	ENST00000429029			DNAJB6			protein_coding
78079	chr1.104	chr1	1083601	1084211	+	538		TTS (ENST00000482816.5)	protein_coding-TTS (ENST00000482816.5)	166	ENST00000464905.1	ENSG00000131591	ENST00000427787			C1orf159			protein_coding
78081	chr19.1039	chr19	4558383	4558591	+	538		promoter-TSS (ENST00000586965.1)	protein_coding-promoter-TSS (ENST00000586965.1)	2	ENST00000677828.1	ENSG00000167680	ENST00000586965			SEMA6B			protein_coding
78082	chr3.5676	chr3	194779756	194780133	+	538		promoter-TSS (ENST00000415410.1)	lncRNA-promoter-TSS (ENST00000415410.1)	-285	ENST00000415410.1	ENSG00000237222	ENST00000423318			LINC01968			lncRNA
78088	chr9.2673	chr9	128275998	128276430	+	538		promoter-TSS (ENST00000418976.3)	protein_coding-promoter-TSS (ENST00000418976.3)	-8	ENST00000652598.1	ENSG00000175854	ENST00000696406			SWI5			protein_coding
78094	chr14.1405	chr14	73919320	73919682	+	538		promoter-TSS (ENST00000556179.5)	protein_coding-promoter-TSS (ENST00000556179.5)	-645	ENST00000556179.5	ENSG00000119725	ENST00000557214			ZNF410			protein_coding
78113	chr18.625	chr18	21242417	21242985	+	537		intron (ENST00000584446.5, intron 1 of 14)	protein_coding-intron (ENST00000269218.10, intron 1 of 31)	343	ENST00000269218.10	ENSG00000141449	ENST00000580683			GREB1L			protein_coding
78126	chr16.4585	chr16	85663401	85663770	+	537		promoter-TSS (ENST00000495192.1)	protein_coding-promoter-TSS (ENST00000495192.1)	219	ENST00000438180.1	ENSG00000131149	ENST00000253458			GSE1			protein_coding
78138	chr18.455	chr18	12653025	12653274	+	537		promoter-TSS (ENST00000449797.5)	protein_coding-promoter-TSS (ENST00000449797.5)	-64	ENST00000449797.5	ENSG00000134278	ENST00000449797			SPIRE1			protein_coding
78143	chr5.5089	chr5	179768676	179768852	+	537		promoter-TSS (ENST00000507385.1)	protein_coding-promoter-TSS (ENST00000507385.1)	-88	ENST00000507385.1	ENSG00000161021	ENST00000292599			MAML1			protein_coding
78158	chr17.834	chr17	15572937	15573116	+	537		promoter-TSS (ENST00000516320.1)	snoRNA-promoter-TSS (ENST00000516320.1)	-993	ENST00000516320.1	ENSG00000252129	ENST00000516320			SNORA74			snoRNA
78165	chr1.8703	chr1	153545061	153545238	+	537		promoter-TSS (ENST00000368715.5)	protein_coding-promoter-TSS (ENST00000368715.5)	-52	ENST00000481009.1	ENSG00000196154	ENST00000468373			S100A4			protein_coding
78166	chr7.4550	chr7	129164285	129164459	+	537		promoter-TSS (ENST00000363759.1)	misc_RNA-promoter-TSS (ENST00000363759.1)	-477	ENST00000363759.1	ENSG00000200629	ENST00000363759			RNY1P11			misc_RNA
78168	chr1.859	chr1	3465893	3466576	+	537		promoter-TSS (ENST00000378371.6)	protein_coding-promoter-TSS (ENST00000378371.6)	229	ENST00000378373.5	ENSG00000130762	ENST00000378373			ARHGEF16			protein_coding
78175	chr1.5419	chr1	42335834	42336114	+	537		promoter-TSS (ENST00000361346.6)	protein_coding-promoter-TSS (ENST00000361346.6)	-97	ENST00000372573.5	ENSG00000198815	ENST00000372572			FOXJ3			protein_coding
78182	chr10.2443	chr10	73427947	73428310	+	537		exon (ENST00000299432.7, exon 2 of 7)	protein_coding-exon (ENST00000299432.7, exon 2 of 7)	159	ENST00000372912.1	ENSG00000166343	ENST00000299432			MSS51			protein_coding
78186	chr13.1055	chr13	97900666	97900846	+	537		promoter-TSS (ENST00000443410.1)	processed_pseudogene-promoter-TSS (ENST00000443410.1)	-897	ENST00000443410.1	ENSG00000233291	ENST00000443410			RPL7AP61			processed_pseudogene
78194	chr17.4418	chr17	63470869	63471047	+	537		promoter-TSS (ENST00000606284.1)	processed_pseudogene-promoter-TSS (ENST00000606284.1)	-646	ENST00000606284.1	ENSG00000228979	ENST00000606284			PPIAP55			processed_pseudogene
78199	chr16.5029	chr16	88704202	88704427	+	537		promoter-TSS (ENST00000541206.6)	protein_coding-promoter-TSS (ENST00000541206.6)	-697	ENST00000541206.6	ENSG00000158717	ENST00000564894			RNF166			protein_coding
78201	chr19.4631	chr19	45032739	45032892	+	537		intron (ENST00000589972.1, intron 1 of 1)	protein_coding-intron (ENST00000221452.13, intron 9 of 11)	107	ENST00000589972.1	ENSG00000104856	ENST00000221452			RELB			protein_coding
78202	chr10.541	chr10	13481548	13481843	+	537		promoter-TSS (ENST00000440282.5)	protein_coding-promoter-TSS (ENST00000440282.5)	-622	ENST00000440282.5	ENSG00000165626	ENST00000466271			BEND7			protein_coding
78205	chr12.1515	chr12	50219158	50219399	+	537		promoter-TSS (ENST00000548666.1)	transcribed_processed_pseudogene-promoter-TSS (ENST00000548666.1)	-326	ENST00000551284.1	ENSG00000257256	ENST00000551284			ENSG00000257256			lncRNA
78222	chr10.4323	chr10	120355713	120355900	+	537		promoter-TSS (ENST00000495531.1)	processed_pseudogene-promoter-TSS (ENST00000495531.1)	-623	ENST00000495531.1	ENSG00000220842	ENST00000495531			RPL21P16			processed_pseudogene
